[1.00066, 1.0008, 1.00095, 1.00077, 1.00093, 1.00086, ],
[1.00086, 1.00102, 1.00121, 1.001, 1.00119, 1.00108, ],
[1.00002, 1.00006, 1.00012, 1.00006, 1.00011, 1.00009, ],
[1.00009, 1.00011, 1.00012, 1.00015, 1.00017, 1.00021, ],
[1.00133, 1.00114, 1.00097, 1.00126, 1.00107, 1.00108, ],
[1, 1, 1.00001, 1.00001, 1.00002, 1.00002, ],
[1.00099, 1.00093, 1.00102, 1.00078, 1.00089, 1.00057, ],
[1, 1.00073, 1.00102, 1, 1.00087, 1, ],
[1.00108, 1.00108, 1.00099, 1.0009, 1.00096, 1.00074, ],
[1.00122, 1.00119, 1.00108, 1.00102, 1.00108, 1.00086, ],
[1.00133, 1.00132, 1.00122, 1.00114, 1.00115, 1.00097, ],
[1.00053, 1.00064, 1.00073, 1.00051, 1.00059, 1.00048, ],
[1.00053, 1.00043, 1.00034, 1.00045, 1.00035, 1.00037, ],
[1.00021, 1.00023, 1.00024, 1.00029, 1.0003, 1.00037, ],
[1.00073, 1.00085, 1.00095, 1.0007, 1.0008, 1.00066, ],
[1.00086, 1.00093, 1.00095, 1.00102, 1.0011, 1.00121, ],
[1.00121, 1.00138, 1.00148, 1.00118, 1.00126, 1.00108, ],
[1.00002, 1.00004, 1.00006, 1.00006, 1.00009, 1.00012, ],
[1.00012, 1.00017, 1.00024, 1.00017, 1.00023, 1.00021, ],
[1.00148, 1.00145, 1.00133, 1.00126, 1.00126, 1.00108, ],
[1, 1, 1.00001, 1, 1, 1, ],
[1.00002, 1.00002, 1.00001, 1.00004, 1.00003, 1.00006, ],
[1.00116, 1.00117, 1.00101, 1.00106, 1.00092, 1.00099, ],
[1, 1.00087, 1.00101, 1.00111, 1.00117, 1.00116, ],
[1.0013, 1.00118, 1.00099, 1.00121, 1.00108, 1.00108, ],
[1.00142, 1.0013, 1.00108, 1.00135, 1.00119, 1.00122, ],
[1.00158, 1.00139, 1.00122, 1.00151, 1.00132, 1.00133, ],
[1.00053, 1.00066, 1.00081, 1.00064, 1.00078, 1.00073, ],
[1.00058, 1.00056, 1.00053, 1.00047, 1.00045, 1.00037, ],
[1.00037, 1.0003, 1.00024, 1.00039, 1.00032, 1.0004, ],
[1.00073, 1.00088, 1.00105, 1.00085, 1.00102, 1.00095, ],
[1.00121, 1.0011, 1.00095, 1.00129, 1.00113, 1.00132, ],
[1.00121, 1.0014, 1.00162, 1.00138, 1.00158, 1.00148, ],
[1.00006, 1.00009, 1.00014, 1.00009, 1.00014, 1.00012, ],
[1.00014, 1.00019, 1.00024, 1.00014, 1.00017, 1.00012, ],
[1.00148, 1.00164, 1.00175, 1.00145, 1.00154, 1.00133, ],
[1.00002, 1.00002, 1.00001, 1.00001, 1, 1, ],
[1.00006, 1.00003, 1.00001, 1.00004, 1.00002, 1.00002, ],
[1.00116, 1.00106, 1.00099, 1.00126, 1.00118, 1.0013, ],
[1, 1.00111, 1.00116, 1, 1.00134, 1, ],
